,Active_School_Zone_Fl,Active_School_Zone_Fl_01,Adt_Adj_Curnt_Amt,Adt_Curnt_Amt,Adt_Curnt_Year,Amend_Supp_Fl,Amend_Supp_Fl_01,At_Intrsct_Fl,At_Intrsct_Fl_01,Cmv_Involv_Fl,Cmv_Involv_Fl_01,Control,CrashDateFormated,Crash_Date,Crash_Fatal_Fl,Crash_Fatal_Fl_01,Crash_ID,Crash_Speed_Limit,Crash_Time,Day_of_Week,Death_Cnt,Dfo,Hp_Median_Width,Hp_Shldr_Left,Hp_Shldr_Right,Hwy_Nbr,Hwy_Sys,Incap_Injry_Cnt,Investigat_Arrv_Time,Investigat_Comp_Fl,Investigat_Comp_Fl_01,Investigat_Notify_Meth,Investigat_Notify_Time,Latitude,Located_Fl,Located_Fl_01,Longitude,Median_Width,Medical_Advisory_Fl,Medical_Advisory_Fl_01,Milepoint,Nbr_Of_Lane,Non_Injry_Cnt,Nonincap_Injry_Cnt,ORI_Number,Onsys_Fl,Onsys_Fl_01,Pct_Combo_Trk_Adt,Pct_Single_Trk_Adt,Poss_Injry_Cnt,Private_Dr_Fl,Private_Dr_Fl_01,Ref_Mark_Displ,Ref_Mark_Nbr,Report_Date,Road_Constr_Zone_Fl,Road_Constr_Zone_Fl_01,Road_Constr_Zone_Wrkr_Fl,Road_Constr_Zone_Wrkr_Fl_01,Roadbed_Width,Row_Width_Usual,Rpt_Block_Num,Rpt_Hwy_Num,Rpt_Outside_City_Limit_Fl,Rpt_Outside_City_Limit_Fl_01,Rpt_Sec_Block_Num,Rpt_Sec_Street_Name,Rpt_Sec_Street_Sfx,Rpt_Street_Name,Rpt_Street_Sfx,Rr_Relat_Fl,Rr_Relat_Fl_01,Rural_Fl,Rural_Fl_01,Schl_Bus_Fl,Schl_Bus_Fl_01,Section,Shldr_Width_Left,Shldr_Width_Right,Street_Name,Street_Name_2,Street_Nbr,Surf_Width,Thousand_Damage_Fl,Thousand_Damage_Fl_01,Toll_Road_Fl,Toll_Road_Fl_01,Tot_Injry_Cnt,Trk_Aadt_Pct,Txdot_Rptable_Fl,Txdot_Rptable_Fl_01,Unkn_Injry_Cnt
10,N,0,45375.0,45375.0,2014.0,N,0,Y,1,N,0,2452.0,2013-01-06 01:54:00,1/6/2013,N,0,13060707,40,1:54 AM,SUN,0,39.864000000000004,48.0,4.0,10.0,1604,SL,0,1:57 AM,Y,1,DISPATCH,1:54 AM,29.60884034,Y,1,-98.49277147,40.0,N,0,11.79,4.0,3,0,TXSPD0000,Y,1,8.7,1.9,0,N,0,-0.14300000000000002,528,1/6/2013,N,0,N,0,76.0,300.0,1800,,N,0,100,LOOP 1604,,STONE OAK,PKWY,N,0,N,0,N,0,2.0,8.0,20.0,SL1604,STONE OAK PKWY,,48.0,Y,1,N,0,0,10.7,Y,1,0
11,N,0,,,,N,0,N,0,N,0,,2013-01-07 02:03:00,1/7/2013,N,0,13060959,35,2:03 AM,MON,0,,,,,,,0,2:12 AM,Y,1,DISPATCHED,2:03 AM,,N,0,,,N,0,,,1,1,TX0310100,N,0,,,0,N,0,,,1/7/2013,N,0,N,0,,,4600,,N,0,2000,CENTRAL,AVE,JAIME ZAPATA,RD,N,0,N,0,N,0,,,,JAIME ZAPATA RD,,,,Y,1,N,0,1,,Y,1,0
12,N,0,87314.0,87314.0,2014.0,N,0,N,0,N,0,253.0,2013-01-07 18:25:00,1/7/2013,N,0,13062843,65,6:25 PM,MON,0,316.98900000000003,50.0,4.0,4.0,281,US,0,6:57 PM,Y,1,DISPATCH,6:32 PM,29.64015391,Y,1,-98.45474759,40.0,N,0,6.631,5.0,2,0,TXSPD0000,Y,1,1.5,2.5,0,N,0,-0.47100000000000003,522,1/7/2013,N,0,N,0,79.0,200.0,20800,281,N,0,2100,EVANS,RD,281,HWY,N,0,N,0,N,0,4.0,10.0,12.0,US0281,,,57.0,Y,1,N,0,0,4.0,Y,1,0
13,N,0,29201.0,29201.0,2014.0,N,0,Y,1,Y,1,151.0,2013-01-08 06:10:00,1/8/2013,N,0,13064631,45,6:10 AM,TUE,0,303.413,14.0,2.0,2.0,183,US,0,6:16 AM,Y,1,RADIO DISPATCH,6:13 AM,30.52069855,Y,1,-97.83008575,10.0,N,0,22.684,4.0,1,1,TX2460900,Y,1,4.0,7.7,0,N,0,0.7,496,1/8/2013,N,0,N,0,60.0,100.0,1000,183,N,0,100,WHITESTONE,BLVD,BELL,BLVD,N,0,N,0,N,0,5.0,4.0,4.0,US0183,RM1431,,48.0,Y,1,N,0,1,11.8,Y,1,0
14,N,0,45304.0,45304.0,2014.0,N,0,N,0,N,0,81.0,2013-01-04 07:36:00,1/4/2013,N,0,13064951,65,7:36 AM,FRI,0,65.382,48.0,4.0,10.0,35,IH,0,8:14 AM,Y,1,DISPATCHED,7:38 AM,32.95547242,Y,1,-97.31051048,40.0,N,0,4.468999999999999,4.0,2,0,TX2201200,Y,1,11.8,3.2,0,N,0,0.301,65,1/4/2013,N,0,N,0,76.0,254.0,12500,35W,N,0,2400,ALLIANCE GATEWAY,FWY,NORTH,FWY,N,0,N,0,N,0,12.0,8.0,20.0,IH0035W,,,48.0,Y,1,N,0,0,15.1,Y,1,0
15,N,0,,,,N,0,N,0,N,0,,2013-01-01 13:45:00,1/1/2013,N,0,13065058,35,1:45 PM,TUE,0,,,,,,,0,2:01 PM,Y,1,DISPATCHED,1:56 PM,32.69759291,Y,1,-97.23499982,,N,0,,,3,0,TX2201200,N,0,,,0,N,0,,,1/1/2013,N,0,N,0,,,5700,,N,0,4400,IH 820 SOUTH,LOOP,WILBARGER,ST,N,0,N,0,N,0,,,,WILBARGER ST,,5742.0,,Y,1,N,0,0,,Y,1,0
16,N,0,,,,N,0,Y,1,N,0,,2013-01-07 11:26:00,1/7/2013,N,0,13065107,30,11:26 AM,MON,0,,,,,,,0,11:37 AM,Y,1,DISPATCHED,11:29 AM,32.75584202,Y,1,-97.34083114,,N,0,,,3,0,TX2201200,N,0,,,0,N,0,,,1/7/2013,N,0,N,0,,,900,,N,0,300,HENDERSON,ST,PEACH,TRL,N,0,N,0,N,0,,,,W PEACH ST,UNKNOWN,900.0,,N,0,N,0,0,,N,0,0
17,N,0,139928.0,139928.0,2014.0,N,0,N,0,N,0,15.0,2013-01-01 04:37:00,1/1/2013,N,0,13067500,70,4:37 AM,TUE,0,242.66400000000002,11.0,4.0,10.0,35,IH,0,4:42 AM,N,0,DISPATCHED,4:37 AM,30.37813587,Y,1,-97.67542519999999,3.0,N,0,26.275,6.0,0,3,TX2270100,Y,1,9.4,3.3,0,N,0,0.22699999999999998,243,1/1/2013,N,0,N,0,100.0,300.0,11200,35,N,0,,BRAKER,LN,SB,,N,0,N,0,N,0,13.0,8.0,20.0,IH0035,,,72.0,Y,1,N,0,3,12.7,Y,1,0
18,N,0,,,,N,0,N,0,N,0,,2013-01-03 18:00:00,1/3/2013,N,0,13067505,35,6:00 PM,THU,0,,,,,,,0,6:18 PM,Y,1,RADIO/DISPATCHED,6:02 PM,28.91939949,Y,1,-97.03262851,,N,0,,,1,0,TX2350000,N,0,,,0,N,0,,,1/3/2013,N,0,N,0,,,60,,Y,1,200,PENN,AVE,PENN,AVE,N,0,Y,1,N,0,,,,PENN AVE,,60.0,,Y,1,N,0,0,,Y,1,0
19,N,0,38676.0,38676.0,2014.0,N,0,N,0,N,0,353.0,2013-01-01 03:45:00,1/1/2013,N,0,13068021,35,3:45 AM,TUE,0,22.165,15.0,0.0,0.0,12,SL,0,4:18 AM,Y,1,DISPATCHED,4:11 AM,32.86557215,Y,1,-96.81591385,15.0,N,0,23.865,6.0,2,0,TX0000006,Y,1,0.4,2.3,0,N,0,0.141,606,1/1/2013,N,0,N,0,66.0,150.0,5600,12,N,0,,DEVONSHIRE,DR,NORTHWEST,HWY,N,0,N,0,N,0,5.0,0.0,0.0,SL0012,,,66.0,Y,1,N,0,0,2.7,Y,1,0
20,N,0,154098.0,154098.0,2014.0,N,0,Y,1,N,0,521.0,2013-01-09 11:35:00,1/9/2013,N,0,13068043,40,11:35 AM,WED,0,14.732999999999999,23.0,10.0,10.0,410,IH,0,11:50 AM,Y,1,PERSON,11:36 AM,29.48954345,Y,1,-98.57467891,3.0,N,0,14.799000000000001,7.0,1,0,TX0000003,Y,1,1.9,2.9,0,N,0,-0.371,15,1/9/2013,N,0,N,0,124.0,300.0,4600,410,N,0,6100,CALLAGHAN RD,RD,LOOP 410,,N,0,N,0,N,0,4.0,20.0,20.0,IH0410,CALLAGHAN RD,,84.0,N,0,N,0,0,4.7,N,0,0
21,N,0,,,,N,0,Y,1,N,0,,2013-01-08 15:12:00,1/8/2013,N,0,13068146,35,3:12 PM,TUE,0,,,,,,,0,3:18 PM,Y,1,DISPATCH,3:12 PM,29.73287481,Y,1,-95.52512305,,N,0,,,1,0,TXHPD0000,N,0,,,1,N,0,,,1/8/2013,N,0,N,0,,,3000,,N,0,9200,CLARKCREST,,JEANETTA,,N,0,N,0,N,0,,,,JEANETTA RD,CLARKCREST ST,2999.0,,Y,1,N,0,1,,Y,1,0
22,N,0,,,,N,0,N,0,N,0,,2013-01-04 18:40:00,1/4/2013,N,0,13068252,35,6:40 PM,FRI,0,,,,,,,0,7:12 PM,Y,1,DISPATCH,6:52 PM,30.12734395,Y,1,-95.43433035,,N,0,,,3,0,TX1700000,N,0,,,1,N,0,,,1/7/2013,N,0,N,0,,,500,,Y,1,25100,RICHARDS,RD,RAYFORD,RD,N,0,Y,1,N,0,,,,RAYFORD RD,,482.0,,Y,1,N,0,1,,Y,1,0
23,N,0,19724.0,19724.0,2014.0,N,0,N,0,N,0,327.0,2013-01-01 15:08:00,1/1/2013,N,0,13068432,45,3:08 PM,TUE,0,7.5729999999999995,43.0,0.0,0.0,77,BU,0,3:10 PM,Y,1,DISPATCHED,3:09 PM,26.18653556,Y,1,-97.6800087,43.0,N,0,12.589,4.0,6,0,TX0310300,Y,1,0.2,1.3,1,N,0,0.9209999999999999,570,1/1/2013,N,0,N,0,72.0,200.0,400,77,N,0,1800,FILMORE,AVE,FRONTAGE,RD,N,0,N,0,N,0,8.0,0.0,0.0,BU0077X,,701.0,56.0,N,0,N,0,1,1.5,Y,1,0
24,N,0,,,,N,0,N,0,N,0,,2013-01-02 09:12:00,1/2/2013,N,0,13068434,0,9:12 AM,WED,0,,,,,,,0,9:33 AM,N,0,DISPATCHED,9:12 AM,,N,0,,,N,0,,,0,0,TX0310300,N,0,,,0,Y,1,,,1/2/2013,N,0,N,0,,,1500,,N,0,1500,SUNSHINE STRIP,,SAM HOUSTON,ST,N,0,N,0,N,0,,,,SAM HOUSTON ST,,,,Y,1,N,0,0,,N,0,1
25,N,0,,,,N,0,N,0,N,0,,2013-01-03 14:49:00,1/3/2013,N,0,13068496,35,2:49 PM,THU,0,,,,,,,0,2:59 PM,Y,1,DISPATCHED,2:52 PM,27.74523969,Y,1,-97.42128856,,N,0,,,3,0,TX1780200,N,0,,,0,N,0,,,1/3/2013,N,0,N,0,,,4400,,N,0,2300,GOLLIHAR,RD,AYERS,ST,N,0,N,0,N,0,,,,AYERS ST,GOLLIHAR RD,4497.0,,Y,1,N,0,0,,Y,1,0
26,N,0,,,,N,0,N,0,N,0,,2013-01-08 06:35:00,1/8/2013,N,0,13069917,40,6:35 AM,TUE,0,,,,,,,0,6:48 AM,Y,1,DISPATCHED,6:47 AM,29.72044847,Y,1,-95.53240162,,N,0,,,3,0,TXHPD0000,N,0,,,0,N,0,,,1/8/2013,N,0,N,0,,,9800,,N,0,4000,ADE,ST,WESTPARK,DR,N,0,N,0,N,0,,,,WESTPARK DR,,9804.0,,Y,1,N,0,0,,Y,1,0
27,Y,1,,,,N,0,N,0,N,0,,2013-01-09 08:56:00,1/9/2013,N,0,13070439,20,8:56 AM,WED,0,,,,,,,0,9:00 AM,Y,1,DISPATCHED,8:56 AM,25.88770607,Y,1,-97.42377631,,N,0,,,4,0,TX0310100,N,0,,,0,N,0,,,1/9/2013,N,0,N,0,,,2800,,N,0,6300,DOCKBERRY,RD,DAKOTA,AVE,N,0,N,0,N,0,,,,S DAKOTA AVE,,2709.0,,N,0,N,0,0,,N,0,0
28,N,0,18056.0,18056.0,2014.0,N,0,N,0,N,0,27.0,2013-01-09 15:00:00,1/9/2013,N,0,13070611,40,3:00 PM,WED,0,176.011,0.0,0.0,0.0,90,UA,0,3:30 PM,Y,1,DISPATCHED,3:25 PM,29.76145814,Y,1,-95.29451289,0.0,N,0,20.775,6.0,2,0,TXHPD0000,Y,1,1.4,3.9,0,N,0,-0.136,704,1/9/2013,N,0,N,0,72.0,120.0,500,,N,0,7100,CLINTON,,WAYSIDE,,N,0,N,0,N,0,10.0,0.0,0.0,UA0090,,500.0,72.0,Y,1,N,0,0,5.2,Y,1,0
29,N,0,87314.0,87314.0,2014.0,N,0,N,0,N,0,253.0,2013-01-10 19:01:00,1/10/2013,N,0,13070701,60,7:01 PM,THU,0,318.226,51.0,6.0,4.0,281,US,0,7:02 PM,Y,1,DISPATHCED,7:01 PM,29.623876899999996,Y,1,-98.46355047,40.0,N,0,7.8870000000000005,6.0,3,0,TXSPD0000,Y,1,1.5,2.5,0,N,0,0.7659999999999999,522,1/10/2013,N,0,N,0,88.0,200.0,20270,281,N,0,,EVANS,RD,281,HWY,N,0,N,0,N,0,4.0,11.0,8.0,US0281,,19506.0,69.0,Y,1,N,0,0,4.0,Y,1,0
30,N,0,44618.0,44618.0,2014.0,Y,1,N,0,N,0,27.0,2013-01-07 08:40:00,1/7/2013,Y,1,13070846,55,8:40 AM,MON,1,159.122,44.0,4.0,8.0,90,UA,0,9:32 AM,Y,1,HPD DISPATCHER,9:03 AM,29.63260175,Y,1,-95.50241240000001,36.0,N,0,2.293,6.0,0,1,TXHPD0000,Y,1,0.5,1.9,1,N,0,-0.698,688,11/7/2013,N,0,N,0,100.0,234.0,14400,,N,0,,ZAVALLA,ST,MAIN,ST,N,0,N,0,N,0,9.0,8.0,16.0,UA0090,,,72.0,Y,1,N,0,2,2.3,Y,1,0
31,N,0,,,,N,0,N,0,N,0,,2013-01-01 04:20:00,1/1/2013,N,0,13070912,40,4:20 AM,TUE,0,,,,,,,0,4:20 AM,Y,1,DISPATCHED,4:20 AM,29.66563357,Y,1,-95.15603172,,N,0,,,1,0,TX1011500,N,0,,,0,N,0,,,1/1/2013,N,0,N,0,,,5500,,N,0,2900,SAM HOUSTON,PKWY,SPENCER,HWY,N,0,N,0,N,0,,,,SPENCER HWY,,,,Y,1,N,0,0,,Y,1,0
32,N,0,143382.0,143382.0,2014.0,N,0,N,0,N,0,2374.0,2013-01-05 07:00:00,1/5/2013,N,0,13070924,65,7:00 AM,SAT,0,466.944,50.0,10.0,12.0,20,IH,0,7:08 AM,Y,1,DISPATCH,7:00 AM,32.64219627,Y,1,-96.81933444,28.0,N,0,14.058,8.0,0,1,TX0571700,Y,1,8.7,5.2,0,N,0,-10.0,468,1/5/2013,N,0,N,0,140.0,420.0,3000,20,N,0,,NOT REPORTED,,INTERSTATE HIGHWAY 20 E B,,N,0,N,0,N,0,3.0,22.0,22.0,IH0020,NOT REPORTED,,96.0,Y,1,N,0,1,14.0,Y,1,0
33,N,0,165794.0,165794.0,2014.0,N,0,N,0,N,0,2374.0,2013-01-04 23:17:00,1/4/2013,N,0,13070974,65,11:17 PM,FRI,0,459.02099999999996,50.0,10.0,12.0,20,IH,0,11:25 PM,Y,1,RADIO DISPATCHED,11:18 PM,32.67086091,Y,1,-96.94889505,28.0,N,0,6.0889999999999995,9.0,0,1,TX0570000,Y,1,6.3,2.3,0,N,0,0.10099999999999999,460,1/4/2013,N,0,N,0,152.0,300.0,41000,20,N,0,,PATRIOT,PKWY,LYNDON B JOHNSON,FWY,N,0,N,0,N,0,4.0,22.0,22.0,IH0020,,,108.0,Y,1,N,0,1,8.5,Y,1,0
34,N,0,160487.0,160487.0,2014.0,N,0,N,0,N,0,50.0,2013-01-05 08:29:00,1/5/2013,N,0,13071069,65,8:29 AM,SAT,0,263.985,58.0,8.0,10.0,290,US,0,8:30 AM,Y,1,DISPATCHED,8:30 AM,29.89152937,Y,1,-95.58604326,40.0,N,0,22.929000000000002,6.0,2,0,10157,Y,1,7.4,5.1,0,N,0,0.873,728,1/5/2013,N,0,N,0,112.0,330.0,17600,290,N,0,8100,JONES,RD,NORTHWEST,FWY,N,0,N,0,N,0,8.0,18.0,18.0,US0290,,,72.0,Y,1,N,0,0,12.4,Y,1,0
35,N,0,15377.0,15377.0,2014.0,N,0,N,0,N,0,5.0,2013-01-01 08:00:00,1/1/2013,N,0,13072336,75,8:00 AM,TUE,0,3.783,0.0,8.0,8.0,20,BI,0,8:14 AM,Y,1,DISPATCH,8:06 AM,31.84108499,Y,1,-102.3766345,0.0,N,0,8.773,4.0,1,0,680200,Y,1,3.4,2.2,0,N,0,-0.441,300,1/1/2013,N,0,N,0,60.0,80.0,1000,20,N,0,,NOT REPORTED,,NOT REPORTED,,N,0,N,0,N,0,1.0,8.0,8.0,BI0020E,,,44.0,Y,1,N,0,0,5.7,Y,1,0
36,N,0,133463.0,133463.0,2014.0,N,0,Y,1,N,0,8.0,2013-01-10 17:15:00,1/10/2013,N,0,13072468,45,5:15 PM,THU,0,432.425,25.0,13.0,10.0,20,IH,0,5:21 PM,Y,1,DISPATCH,5:19 PM,32.68094078,Y,1,-97.39317865,2.0,N,0,5.012,7.0,5,0,TX2201200,Y,1,2.2,3.7,0,N,0,0.312,433,1/10/2013,N,0,N,0,127.0,280.0,4710,820,N,0,4640,HULEN,ST,LOOP 820,,N,0,N,0,N,0,12.0,23.0,20.0,IH0020,SH0183,,84.0,Y,1,N,0,0,5.9,Y,1,0
37,N,0,19551.0,19551.0,2014.0,N,0,Y,1,N,0,1790.0,2013-01-09 06:46:00,1/9/2013,N,0,13072531,55,6:46 AM,WED,0,2.773,12.0,0.0,10.0,323,SL,0,6:48 AM,Y,1,DISPATCH,6:46 AM,32.35621419,Y,1,-95.26809338,2.0,N,0,2.7739999999999996,6.0,5,0,TX2120400,Y,1,17.3,3.0,0,N,0,0.7909999999999999,676,1/9/2013,N,0,N,0,100.0,114.0,700,323,N,0,2600,COMMERCE,ST,NOT REPORTED,,N,0,N,0,N,0,2.0,10.0,10.0,SL0323,COMMERCE ST,501.0,76.0,Y,1,N,0,0,20.3,Y,1,0
38,N,0,197501.0,197501.0,2014.0,N,0,N,0,N,0,500.0,2013-01-05 04:40:00,1/5/2013,N,0,13072686,60,4:40 AM,SAT,0,51.11,26.0,0.0,10.0,45,IH,0,4:58 AM,Y,1,HPD RADIO DISPATCH,4:55 AM,29.80616602,Y,1,-95.37292496,26.0,N,0,27.326,8.0,6,0,TXHPD0000,Y,1,4.6,5.5,0,N,0,0.22899999999999998,51,1/5/2013,N,0,N,0,124.0,350.0,3000,45,N,0,,CALVACADE,ST,NORTH,FWY,N,0,N,0,N,0,3.0,0.0,20.0,IH0045,,,98.0,Y,1,N,0,0,10.1,Y,1,0
39,N,0,,,,N,0,N,0,N,0,,2013-01-08 09:00:00,1/8/2013,N,0,13072687,10,9:00 AM,TUE,0,,,,,,,0,9:51 AM,N,0,DISPATCH,9:43 AM,,N,0,,,N,0,,,0,0,TX0571200,N,0,,,0,Y,1,,,1/8/2013,N,0,N,0,,,2316,,N,0,1500,DUNCAN PERRY,RD,AVENUE H EAST,RD,N,0,N,0,N,0,,,,AVENUE H EAST RD,,,,Y,1,N,0,0,,N,0,1
40,N,0,195906.0,195906.0,2014.0,N,0,N,0,N,0,2374.0,2013-01-12 03:04:00,1/12/2013,N,0,13072771,60,3:04 AM,SAT,0,25.468000000000004,12.0,2.0,10.0,635,IH,0,3:18 AM,N,0,DISPATCHED,3:11 AM,32.91668148,Y,1,-96.85931307,8.0,N,0,12.035,8.0,0,3,TX0000006,Y,1,8.7,5.2,1,N,0,-0.068,25,1/12/2013,Y,1,N,0,140.0,800.0,3600,635,N,0,12300,MARSH,LN,LYNDON B JOHNSON,FWY,N,0,N,0,N,0,1.0,4.0,20.0,IH0635,,,88.0,Y,1,N,0,4,14.0,Y,1,0
