,Percent,nulls
Dfo,58.539,3078
Street_Name,0.0,0
Street_Nbr,56.771,2985
Control,58.558,3079
Section,58.558,3079
Milepoint,58.558,3079
Ref_Mark_Nbr,58.844,3094
Ref_Mark_Displ,58.844,3094
Hwy_Sys_2,92.126,4844
Hwy_Nbr_2,92.126,4844
Hwy_Sfx_2,99.677,5241
Street_Name_2,57.227,3009
Street_Nbr_2,100.0,5258
Control_2,98.383,5173
Section_2,98.383,5173
Milepoint_2,98.383,5173
Txdot_Rptable_Fl,0.0,0
Onsys_Fl,0.0,0
Rural_Fl,0.0,0
Crash_Sev_ID,0.0,0
Pop_Group_ID,0.0,0
Located_Fl,0.0,0
Day_of_Week,0.0,0
Hwy_Dsgn_Lane_ID,58.558,3079
Hwy_Dsgn_Hrt_ID,58.558,3079
Hp_Shldr_Left,58.558,3079
Hp_Shldr_Right,58.558,3079
Hp_Median_Width,58.558,3079
Base_Type_ID,58.558,3079
Nbr_Of_Lane,58.558,3079
Row_Width_Usual,58.558,3079
Roadbed_Width,58.558,3079
Surf_Width,58.558,3079
Surf_Type_ID,58.558,3079
Curb_Type_Left_ID,58.558,3079
Curb_Type_Right_ID,58.558,3079
Shldr_Type_Left_ID,58.558,3079
Shldr_Width_Left,58.558,3079
Shldr_Use_Left_ID,58.558,3079
Shldr_Type_Right_ID,58.558,3079
Shldr_Width_Right,58.558,3079
Shldr_Use_Right_ID,58.558,3079
Median_Type_ID,59.928,3151
Median_Width,58.558,3079
Rural_Urban_Type_ID,58.558,3079
Func_Sys_ID,58.558,3079
Adt_Curnt_Amt,58.558,3079
Adt_Curnt_Year,58.558,3079
Adt_Adj_Curnt_Amt,58.558,3079
Pct_Single_Trk_Adt,58.558,3079
Pct_Combo_Trk_Adt,58.558,3079
Trk_Aadt_Pct,58.558,3079
Curve_Type_ID,91.86,4830
Curve_Lngth,91.86,4830
Cd_Degr,91.86,4830
Delta_Left_Right_ID,92.868,4883
Dd_Degr,91.86,4830
Feature_Crossed,100.0,5258
Structure_Number,100.0,5258
I_R_Min_Vert_Clear,100.0,5258
Approach_Width,100.0,5258
Bridge_Median_ID,100.0,5258
Bridge_Loading_Type_ID,100.0,5258
Bridge_Loading_In_1000_Lbs,100.0,5258
Bridge_Srvc_Type_On_ID,100.0,5258
Bridge_Srvc_Type_Under_ID,100.0,5258
Culvert_Type_ID,100.0,5258
Roadway_Width,100.0,5258
Deck_Width,100.0,5258
Bridge_Dir_Of_Traffic_ID,100.0,5258
Bridge_Rte_Struct_Func_ID,100.0,5258
Bridge_IR_Struct_Func_ID,100.0,5258
CrossingNumber,99.924,5254
RRCo,99.924,5254
Poscrossing_ID,100.0,5258
WDCode_ID,99.924,5254
Standstop,100.0,5258
Yield,100.0,5258
Incap_Injry_Cnt,0.0,0
Nonincap_Injry_Cnt,0.0,0
Poss_Injry_Cnt,0.0,0
Non_Injry_Cnt,0.0,0
Unkn_Injry_Cnt,0.0,0
Tot_Injry_Cnt,0.0,0
Death_Cnt,0.0,0
MPO_ID,29.593,1556
Investigat_Service_ID,100.0,5258
Investigat_DA_ID,100.0,5258
Investigator_Narrative,100.0,5258
